Date,Open,High,Low,Close,Volume,Symbol,MA_7,MA_14,MA_30,Daily_Return,Volatility_7,Price_Range,RSI,MA_Signal,Year,Month
2020-03-17,362.64,365.84,333.25,337.44,25585480.0,BAJFINANCE,379.05,409.41,436.91,-6.19,25.98,32.59,17.53,Bearish,2020,3
2020-03-18,341.87,345.79,295.72,299.88,54435800.0,BAJFINANCE,362.76,397.25,432.7,-11.13,34.74,50.07,14.93,Bearish,2020,3
2020-03-19,274.28,299.07,243.39,269.0,83247130.0,BAJFINANCE,344.84,383.24,426.95,-10.3,46.15,55.68,13.49,Bearish,2020,3
2020-03-20,274.26,298.18,256.81,289.16,61101890.0,BAJFINANCE,329.74,372.71,421.83,7.49,44.32,41.37,21.68,Bearish,2020,3
2020-03-23,260.25,264.48,217.95,221.98,48442350.0,BAJFINANCE,309.19,358.13,414.03,-23.23,56.48,46.53,17.79,Bearish,2020,3
2020-03-24,242.15,251.62,206.16,242.36,62572210.0,BAJFINANCE,288.51,344.28,406.95,9.18,49.21,45.46,20.36,Bearish,2020,3
2020-03-25,239.99,264.48,235.1,253.28,62263550.0,BAJFINANCE,273.3,332.37,400.01,4.51,38.91,29.38,24.11,Bearish,2020,3
2020-03-26,258.34,287.65,251.26,273.66,50961240.0,BAJFINANCE,264.19,321.62,393.66,8.05,27.04,36.39,27.71,Bearish,2020,3
2020-03-27,289.46,297.79,244.89,249.03,71706090.0,BAJFINANCE,256.92,309.84,386.42,-9.0,22.26,52.9,26.58,Bearish,2020,3
2020-03-30,234.12,236.51,218.05,219.63,76983550.0,BAJFINANCE,249.87,297.35,378.12,-11.81,25.4,18.46,25.85,Bearish,2020,3
2020-03-31,225.8,229.22,205.71,217.05,110431110.0,BAJFINANCE,239.57,284.66,369.78,-1.17,21.06,23.51,25.59,Bearish,2020,3
2020-04-01,213.54,224.02,208.91,217.4,64083010.0,BAJFINANCE,238.92,274.06,361.47,0.16,21.76,15.11,27.89,Bearish,2020,4
2020-04-03,222.24,229.58,213.84,216.24,61726720.0,BAJFINANCE,235.18,261.85,353.17,-0.53,23.26,15.74,22.89,Bearish,2020,4
2020-04-07,219.91,223.93,203.9,220.73,111614780.0,BAJFINANCE,230.53,251.92,344.64,2.08,22.27,20.03,26.23,Bearish,2020,4
2020-04-08,213.94,232.55,210.03,228.52,91093390.0,BAJFINANCE,224.09,244.14,336.36,3.53,11.75,22.52,30.4,Bearish,2020,4
2020-04-09,234.21,251.37,231.87,249.97,71932460.0,BAJFINANCE,224.22,240.57,329.04,9.39,12.09,19.5,40.47,Bearish,2020,4
2020-04-13,246.85,246.85,221.96,224.06,81831990.0,BAJFINANCE,224.85,237.36,320.79,-10.37,11.92,24.89,41.25,Bearish,2020,4
2020-04-15,229.71,231.96,212.41,213.78,93336280.0,BAJFINANCE,224.39,231.98,312.24,-4.59,12.33,19.55,34.73,Bearish,2020,4
2020-04-16,210.12,220.4,207.86,217.46,72467400.0,BAJFINANCE,224.39,231.66,303.99,1.72,12.33,12.54,48.77,Bearish,2020,4
2020-04-17,230.69,232.73,218.95,226.1,101915460.0,BAJFINANCE,225.8,230.49,296.97,3.97,11.79,13.78,45.26,Bearish,2020,4
2020-04-20,227.75,229.76,221.87,226.11,54031770.0,BAJFINANCE,226.57,228.55,290.31,0.0,11.58,7.89,41.55,Bearish,2020,4
2020-04-21,216.48,216.48,204.24,205.68,73839850.0,BAJFINANCE,223.31,223.7,282.62,-9.04,13.92,12.24,28.86,Bearish,2020,4
2020-04-22,201.79,212.57,198.1,210.43,90627230.0,BAJFINANCE,217.66,220.94,275.64,2.31,8.11,14.47,36.3,Bearish,2020,4
2020-04-23,211.59,217.37,206.88,212.81,71440060.0,BAJFINANCE,216.05,220.45,268.59,1.13,7.73,10.49,47.01,Bearish,2020,4
2020-04-24,207.03,207.03,192.98,193.59,104944510.0,BAJFINANCE,213.17,218.78,261.24,-9.03,11.55,14.05,41.01,Bearish,2020,4
2020-04-27,195.91,204.24,187.65,200.23,144952470.0,BAJFINANCE,210.71,217.55,254.77,3.43,12.29,16.59,43.73,Bearish,2020,4
2020-04-28,203.85,219.82,199.34,218.26,147563440.0,BAJFINANCE,209.59,217.7,248.88,9.0,10.94,20.48,50.66,Bearish,2020,4
2020-04-29,215.51,232.65,215.51,224.95,150601540.0,BAJFINANCE,209.42,218.0,244.19,3.07,10.65,17.14,51.35,Bearish,2020,4
2020-04-30,231.67,236.95,224.43,227.07,88833050.0,BAJFINANCE,212.48,217.89,238.85,0.94,12.34,12.52,49.52,Bearish,2020,4
2020-05-04,215.5,215.72,198.71,203.71,73127450.0,BAJFINANCE,211.52,214.59,233.65,-10.29,12.78,17.01,34.8,Bearish,2020,5
2020-05-05,208.65,209.14,195.62,196.14,115212090.0,BAJFINANCE,209.14,212.59,228.94,-3.72,13.99,13.52,39.57,Bearish,2020,5
2020-05-06,196.89,208.83,191.25,206.32,131496960.0,BAJFINANCE,210.95,212.06,225.82,5.19,12.37,17.58,47.21,Bearish,2020,5
2020-05-07,205.61,212.55,200.65,201.84,77702040.0,BAJFINANCE,211.18,210.95,223.59,-2.17,12.15,11.9,44.19,Bearish,2020,5
2020-05-08,208.65,208.65,197.38,198.28,69663750.0,BAJFINANCE,208.33,208.96,220.56,-1.76,12.55,11.27,39.25,Bearish,2020,5
2020-05-11,202.77,204.99,195.45,197.39,76549900.0,BAJFINANCE,204.39,206.91,219.74,-0.45,10.64,9.54,38.98,Bearish,2020,5
2020-05-12,194.9,203.75,193.67,202.74,103365270.0,BAJFINANCE,200.92,206.7,218.42,2.71,3.73,10.08,48.72,Bearish,2020,5
2020-05-13,217.46,219.42,210.12,211.69,94411850.0,BAJFINANCE,202.06,206.79,217.03,4.41,5.52,9.3,50.53,Bearish,2020,5
